image,row,col,x,y,brightness,brightness_pct,Power_uW
Analysis_image-Stitched_-9,11,19,3545,2435,63.01,24.7,55.51164617
Analysis_image-Stitched_-9,11,20,3719,2529,65.06,25.5,57.31769084
Analysis_image-Stitched_-9,11,21,3889,2433,66.6,26.1,58.67442684
Analysis_image-Stitched_-9,11,22,4062,2540,65.71,25.8,57.89033915
Analysis_image-Stitched_-9,11,23,4224,2429,65.08,25.5,57.33531079
Analysis_image-Stitched_-9,11,24,4398,2518,61.89,24.3,54.52492909
Analysis_image-Stitched_-9,12,1,319,2797,59.49,23.3,52.41053533
Analysis_image-Stitched_-9,12,2,490,2693,61.85,24.3,54.48968919
Analysis_image-Stitched_-9,12,3,665,2811,9.57,3.8,8.43114512
Analysis_image-Stitched_-9,12,4,833,2685,63.9,25.1,56.29573386
Analysis_image-Stitched_-9,12,5,1005,2777,63.49,24.9,55.93452493
Analysis_image-Stitched_-9,12,6,1171,2675,63.76,25.0,56.17239422
Analysis_image-Stitched_-9,12,7,1345,2769,63.21,24.8,55.68784565
Analysis_image-Stitched_-9,12,8,1510,2667,63.24,24.8,55.71427558
Analysis_image-Stitched_-9,12,9,1690,2787,9.38,3.7,8.26375561
Analysis_image-Stitched_-9,12,10,1850,2665,64.16,25.2,56.52479318
Analysis_image-Stitched_-9,12,11,2020,2758,63.44,24.9,55.89047506
Analysis_image-Stitched_-9,12,12,2182,2655,63.68,25.0,56.10191443
Analysis_image-Stitched_-9,12,13,2530,2650,63.65,25.0,56.07548451
Analysis_image-Stitched_-9,12,14,2701,2748,64.81,25.4,57.09744149
Analysis_image-Stitched_-9,12,15,2871,2649,65.85,25.8,58.01367879
Analysis_image-Stitched_-9,12,16,3043,2755,10.24,4.0,9.02141338
Analysis_image-Stitched_-9,12,17,3208,2644,65.8,25.8,57.96962892
Analysis_image-Stitched_-9,12,18,3382,2740,65.67,25.8,57.85509926
Analysis_image-Stitched_-9,12,19,3551,2631,65.88,25.8,58.04010871
Analysis_image-Stitched_-9,12,20,3721,2733,64.82,25.4,57.10625147
Analysis_image-Stitched_-9,12,21,3891,2624,65.52,25.7,57.72294965
Analysis_image-Stitched_-9,12,22,4053,2736,10.0,3.9,8.809974
Analysis_image-Stitched_-9,12,23,4227,2621,64.04,25.1,56.4190735
Analysis_image-Stitched_-9,12,24,4402,2715,60.26,23.6,53.08890332
Analysis_image-Stitched_-9,13,1,333,2989,60.6,23.8,53.38844244
Analysis_image-Stitched_-9,13,2,493,2886,61.93,24.3,54.56016898
Analysis_image-Stitched_-9,13,3,674,2994,59.89,23.5,52.76293429
Analysis_image-Stitched_-9,13,4,833,2883,62.84,24.6,55.36187662
Analysis_image-Stitched_-9,13,5,1014,2971,63.51,24.9,55.95214487
Analysis_image-Stitched_-9,13,6,1178,2872,63.03,24.7,55.52926612
Analysis_image-Stitched_-9,13,7,1346,2970,64.98,25.5,57.24721105
Analysis_image-Stitched_-9,13,8,1517,2864,62.65,24.6,55.19448711
Analysis_image-Stitched_-9,13,9,1690,2974,61.25,24.0,53.96109075
Analysis_image-Stitched_-9,13,10,1854,2857,63.46,24.9,55.908095
Analysis_image-Stitched_-9,13,11,2030,2955,64.7,25.4,57.00053178
